CHR,POS,clone1_A_true,clone8_A_true,clone12_A_true,clone13_A_true,clone14_A_true,clone15_A_true,clone16_A_true,clone18_A_true,clone19_A_true,clone20_A_true,clone21_A_true,segment,clone1_B_true,clone8_B_true,clone12_B_true,clone13_B_true,clone14_B_true,clone15_B_true,clone16_B_true,clone18_B_true,clone19_B_true,clone20_B_true,clone21_B_true,chr,start,end
1,170070078,2,2,2,2,2,2,2,2,2,2,2,16_705278_709456,2,2,2,2,2,2,2,2,2,2,2,chr1,705278,709456
8,79475122,0,2,2,2,2,2,2,2,2,2,2,18_61160271_64748968,4,2,2,2,2,2,2,2,2,2,2,chr8,61160271,64748968
1,68037089,2,2,2,2,2,4,2,2,2,2,2,12_101336201_101713434,2,2,2,2,2,0,2,2,2,2,2,chr1,101336201,101713434
2,119726929,2,2,2,2,2,2,2,2,2,2,2,1_3549990_6132940,3,2,2,2,2,2,2,3,2,2,2,chr2,3549990,6132940
3,31786392,2,2,2,2,2,2,2,2,2,2,4,4_139483077_157688893,2,2,2,2,2,2,2,2,2,2,0,chr3,139483077,157688893
14,41306895,2,2,2,2,2,2,2,2,2,2,2,11_8669510_30352462,2,2,2,2,2,2,2,2,2,2,2,chr14,8669510,30352462
3,70534715,2,2,2,2,2,2,2,2,2,2,2,16_16295863_19020450,2,2,2,2,2,2,2,2,2,2,2,chr3,16295863,19020450
1,138951275,2,2,2,2,2,2,2,2,2,2,2,17_38633881_39645761,2,2,2,2,2,2,2,2,2,2,2,chr1,38633881,39645761
19,40698970,2,2,2,2,2,2,2,2,2,2,2,4_30480934_41687709,2,2,2,2,2,2,2,2,2,2,2,chr19,30480934,41687709
2,195957013,2,2,2,2,2,2,2,2,2,2,2,14_22534039_22695126,3,3,3,3,3,3,3,3,3,3,3,chr2,22534039,22695126
3,124913997,2,2,2,2,2,2,2,2,2,2,3,3_56597954_56704242,2,2,2,2,2,2,2,2,2,2,2,chr3,56597954,56704242
2,77490628,2,2,2,2,2,2,2,2,2,2,2,5_140186657_140251115,4,4,4,4,4,4,4,4,4,4,4,chr2,140186657,140251115
2,200614757,3,3,3,3,3,3,3,3,3,3,3,20_9496867_13029637,3,3,3,3,3,3,3,3,3,3,3,chr2,9496867,13029637
15,41071934,2,2,2,2,2,2,2,2,2,2,2,14_95078677_100728618,2,2,2,2,2,2,2,2,2,2,2,chr15,95078677,100728618
13,32525371,2,2,2,2,2,2,2,2,2,2,2,7_48964751_50530995,3,3,3,3,3,3,3,3,3,3,3,chr13,48964751,50530995
6,92680632,2,2,2,2,2,3,2,2,2,2,2,20_62577752_62959363,2,2,2,2,2,2,2,2,2,2,2,chr6,62577752,62959363
5,115943925,2,2,2,2,2,2,2,2,2,2,2,1_115487470_118644515,2,2,2,2,2,2,2,2,2,2,2,chr5,115487470,118644515
2,119726528,2,2,2,2,2,2,2,2,2,2,2,15_41352134_45123815,2,2,2,2,2,2,2,2,2,2,2,chr2,41352134,45123815
13,111010639,2,0,2,2,0,0,2,2,2,2,2,16_67663247_71061525,2,4,2,2,4,4,2,2,2,2,2,chr13,67663247,71061525
6,3749274,2,2,2,2,2,2,2,2,2,2,2,6_26385113_26508636,2,2,2,2,2,2,2,2,2,2,2,chr6,26385113,26508636
8,116622857,0,2,2,2,2,2,2,2,2,2,2,11_6243843_6655430,4,2,2,2,2,2,2,2,2,2,2,chr8,6243843,6655430
8,25096736,2,2,2,2,2,2,2,2,4,4,4,1_28586376_33002263,2,2,2,2,2,2,2,2,0,0,0,chr8,28586376,33002263
11,112821028,3,3,3,3,3,3,3,3,3,3,3,12_10145739_11338781,3,3,3,3,3,3,3,3,3,3,3,chr11,10145739,11338781
10,101041353,2,2,2,2,2,2,2,2,2,2,2,7_99355612_99786057,2,2,2,2,2,2,2,2,2,2,2,chr10,99355612,99786057
7,81808461,4,4,4,4,4,4,4,4,4,4,4,19_52519608_53770266,2,2,2,2,2,2,2,2,2,2,2,chr7,52519608,53770266
3,158421940,4,4,4,4,4,4,4,4,4,4,4,6_203397_3255290,4,4,4,4,4,4,4,4,4,4,4,chr3,203397,3255290
18,8375813,2,2,2,2,2,2,2,2,2,0,2,16_73164882_74774063,2,2,2,2,2,2,2,2,2,4,2,chr18,73164882,74774063
10,90413340,3,3,3,3,3,3,3,3,3,3,3,2_96148445_99797249,2,2,2,2,2,2,2,2,2,2,2,chr10,96148445,99797249
1,93157421,2,2,2,2,2,2,2,2,2,0,2,1_247614750_249212481,2,2,2,2,2,2,2,2,2,4,2,chr1,247614750,249212481
5,68556092,2,2,2,2,2,2,2,2,2,2,2,16_88014768_88110299,4,4,4,4,4,4,4,4,4,4,4,chr5,88014768,88110299
13,19446178,2,2,2,2,2,2,2,2,2,2,2,2_41509_10045147,2,2,2,2,2,2,2,2,2,2,2,chr13,41509,10045147
20,16788746,2,2,2,2,2,2,2,2,2,2,2,17_40461432_41368521,1,1,2,1,1,1,1,1,2,2,2,chr20,40461432,41368521
3,190155879,3,3,3,3,3,3,3,3,3,3,3,1_165218979_174977961,3,3,3,3,3,3,3,3,3,3,3,chr3,165218979,174977961
11,118687501,2,1,2,2,1,1,2,2,2,2,2,14_23026438_31840991,2,2,2,2,2,2,2,2,2,2,2,chr11,23026438,31840991
21,20328867,2,2,2,2,2,2,2,2,2,2,2,15_48053963_52505581,4,4,4,4,4,4,4,4,4,4,4,chr21,48053963,52505581
8,59987212,2,2,2,2,2,2,2,2,2,2,2,19_619772_872089,4,4,4,4,4,4,4,4,4,4,4,chr8,619772,872089
4,171773312,2,2,2,2,2,2,2,2,2,2,3,9_132620158_133263955,2,2,2,2,2,2,2,2,2,2,3,chr4,132620158,133263955
2,47074817,2,2,2,2,2,2,2,2,2,2,3,1_7912975_9657120,2,2,2,2,2,2,2,2,2,2,3,chr2,7912975,9657120
2,214251302,2,2,2,2,2,2,2,2,2,2,2,11_43342848_45277275,2,2,2,2,2,2,2,2,2,2,2,chr2,43342848,45277275
16,56100821,4,4,4,4,4,4,4,4,4,4,4,12_107713134_124343753,2,2,2,2,2,2,2,2,2,2,2,chr16,107713134,124343753
3,29832531,2,2,2,2,2,2,2,2,2,2,2,7_43664458_48559756,2,2,2,2,2,2,2,2,2,2,2,chr3,43664458,48559756
10,123102013,4,4,4,4,4,4,4,4,4,4,4,11_3659949_4626617,2,2,2,2,2,2,2,2,2,2,2,chr10,3659949,4626617
1,180289578,3,3,3,3,3,3,3,3,3,3,3,5_174156264_177987896,3,3,3,3,3,3,3,3,3,3,3,chr1,174156264,177987896
8,44171251,2,1,2,2,2,2,2,2,2,2,2,4_54310165_54930367,2,2,2,2,2,2,2,2,2,2,2,chr8,54310165,54930367
8,66234784,2,2,2,2,2,2,2,2,2,2,2,19_55603569_56055436,2,2,2,2,2,2,2,2,2,2,2,chr8,55603569,56055436
14,86669251,3,3,3,3,3,3,3,3,3,3,3,14_103958025_104167545,3,3,3,3,3,3,3,3,3,3,3,chr14,103958025,104167545
6,100813339,2,2,2,2,2,2,2,2,2,2,2,8_136657378_142367024,2,2,2,2,2,2,2,2,2,2,2,chr6,136657378,142367024
2,202424599,4,4,4,4,4,4,4,4,4,4,4,20_68264_3654820,4,4,4,4,4,4,4,4,4,4,4,chr2,68264,3654820
2,16280496,4,4,4,4,4,4,4,4,4,4,4,15_75890901_75979966,2,2,2,2,2,2,2,2,2,2,2,chr2,75890901,75979966
1,91163566,2,2,2,2,2,2,2,2,2,2,2,10_3208334_5204982,4,4,4,4,4,4,4,4,4,4,4,chr1,3208334,5204982
6,120989913,2,2,2,2,2,2,2,2,2,2,2,6_47647777_47754321,3,3,3,3,3,3,3,3,3,3,3,chr6,47647777,47754321
11,79370742,2,2,2,2,2,2,2,2,2,2,2,22_39711351_42525424,4,4,4,4,4,4,4,4,4,4,4,chr11,39711351,42525424
6,32597672,2,2,2,2,2,2,2,2,2,2,2,8_12586411_17919302,1,1,1,1,1,1,1,1,1,1,1,chr6,12586411,17919302
7,62800750,2,2,2,2,2,2,2,2,2,2,2,22_21336655_23505021,2,2,2,2,2,2,2,2,2,2,2,chr7,21336655,23505021
8,9281287,4,4,4,4,4,4,4,4,4,4,4,17_5354272_6616657,4,4,4,4,4,4,4,4,4,4,4,chr8,5354272,6616657
21,15607159,3,3,3,3,3,3,3,3,3,3,3,3_125775266_126733176,3,3,3,3,3,3,3,3,3,3,3,chr21,125775266,126733176
6,25028627,2,2,2,2,2,2,2,2,2,2,2,16_66785265_67662482,2,2,2,2,2,2,2,2,1,1,1,chr6,66785265,67662482
15,73549867,2,2,2,2,2,2,2,2,2,2,2,19_10108860_11319792,2,2,2,2,2,2,2,2,2,2,2,chr15,10108860,11319792
17,70791185,2,2,2,2,2,1,2,2,2,2,2,1_75602801_76199353,2,2,2,2,2,2,2,2,2,2,2,chr17,75602801,76199353
9,8946133,2,2,2,2,2,2,2,2,2,2,2,11_3060371_3187967,2,2,2,2,2,2,2,2,2,2,2,chr9,3060371,3187967
6,66671425,2,2,2,2,2,2,2,2,2,2,2,2_212569923_215940314,2,2,2,2,2,2,2,2,2,2,2,chr6,212569923,215940314
1,139348529,2,2,2,2,2,2,2,2,2,2,2,2_39996341_54482977,0,0,0,0,0,0,0,0,0,0,0,chr1,39996341,54482977
13,108254250,2,2,2,2,2,1,2,2,2,2,2,10_35305396_38740417,2,2,2,2,2,2,2,2,2,2,2,chr13,35305396,38740417
7,122686533,2,2,2,2,2,2,2,2,2,2,2,6_5187259_6305458,2,2,2,2,2,2,2,2,2,2,2,chr7,5187259,6305458
15,94526189,2,1,2,2,2,2,2,2,2,2,2,4_120314664_126412283,2,2,2,2,2,2,2,2,2,2,2,chr15,120314664,126412283
1,59992087,2,2,2,2,2,2,2,2,2,2,2,12_124408866_125550207,2,2,2,2,2,2,2,2,2,2,2,chr1,124408866,125550207
3,185888641,4,4,4,4,4,4,4,4,4,4,4,15_28234706_30018499,0,0,0,0,0,0,0,0,0,0,0,chr3,28234706,30018499
10,84598348,2,2,2,2,2,2,2,2,2,2,2,11_113934436_114393652,2,2,2,2,2,2,2,2,2,2,2,chr10,113934436,114393652
4,162190569,4,4,4,4,4,4,4,4,4,4,4,3_10206655_10302364,2,2,2,2,2,2,2,2,2,2,2,chr4,10206655,10302364
17,63505372,3,3,3,3,3,3,3,3,3,3,3,18_65178238_77960841,3,3,3,3,3,3,3,3,3,3,3,chr17,65178238,77960841
8,63324070,0,0,2,0,0,0,0,0,2,2,2,11_61487610_61895804,4,4,2,4,4,4,4,4,2,2,2,chr8,61487610,61895804
15,58638738,4,4,4,4,4,4,4,4,4,4,4,8_39604005_40011430,0,0,0,0,0,0,0,0,0,0,0,chr15,39604005,40011430
4,4328345,2,2,2,2,2,2,2,2,2,2,2,7_99950508_100421373,4,4,4,4,4,4,4,4,4,4,4,chr4,99950508,100421373
8,104798899,2,2,2,2,2,2,2,2,2,2,0,22_47185281_50588026,2,2,2,2,2,2,2,2,2,2,4,chr8,47185281,50588026
9,59218599,3,3,3,3,3,3,3,3,3,3,3,4_46334613_49052846,3,3,3,3,3,3,3,3,3,3,3,chr9,46334613,49052846
18,34283356,2,2,2,2,2,2,2,2,2,2,2,3_158378847_168807931,1,1,1,1,1,1,1,1,1,1,1,chr18,158378847,168807931
22,15134159,2,2,2,2,2,2,2,2,2,2,2,5_180480187_180687830,2,2,2,2,2,2,2,2,2,2,2,chr22,180480187,180687830
14,103329388,2,0,2,2,0,0,2,2,2,2,2,11_5878955_6227078,2,4,2,2,4,4,2,2,2,2,2,chr14,5878955,6227078
14,6329268,2,0,2,2,2,2,2,2,2,2,2,16_14916780_15798015,2,4,2,2,2,2,2,2,2,2,2,chr14,14916780,15798015
1,127213561,4,4,4,4,4,4,4,4,4,4,4,3_9691364_10076975,4,4,4,4,4,4,4,4,4,4,4,chr1,9691364,10076975
14,45225592,2,2,2,2,2,2,2,2,2,2,2,19_52249211_52519417,2,2,2,2,2,2,2,2,2,2,2,chr14,52249211,52519417
4,118153532,4,4,4,4,4,4,4,4,4,4,4,19_1064828_1783077,4,4,4,4,4,4,4,4,4,4,4,chr4,1064828,1783077
20,32201230,2,2,2,2,2,2,2,2,2,2,2,9_131554705_131799384,2,2,2,2,2,2,2,2,2,2,2,chr20,131554705,131799384
20,3919068,2,2,2,2,2,2,2,2,2,2,2,14_92792332_93962945,2,2,2,2,2,1,2,2,2,2,2,chr20,92792332,93962945
15,39496519,2,2,2,2,2,2,2,2,2,2,2,17_31107533_38633854,4,4,4,4,4,4,4,4,4,4,4,chr15,31107533,38633854
18,9291440,2,0,2,2,2,2,2,2,2,2,2,22_46829252_47073142,2,4,2,2,2,2,2,2,2,2,2,chr18,46829252,47073142
3,61530047,2,2,2,2,2,2,2,2,2,2,2,1_76344856_115284163,2,2,2,2,2,2,2,2,2,2,2,chr3,76344856,115284163
21,44909048,0,2,2,2,2,2,0,0,2,2,2,6_31803074_36368417,4,2,2,2,2,2,4,4,2,2,2,chr21,31803074,36368417
2,3774067,2,2,2,2,2,2,2,2,2,2,2,4_157688991_167656126,2,2,2,2,2,2,2,2,2,2,2,chr2,157688991,167656126
8,70125706,2,2,2,2,2,2,2,2,2,2,2,19_50357917_50938554,2,2,2,2,2,2,2,2,2,2,2,chr8,50357917,50938554
6,158374861,2,2,2,2,2,2,2,2,2,2,2,19_18119206_19460110,2,2,2,2,2,2,2,2,2,2,2,chr6,18119206,19460110
11,13952720,4,4,4,4,4,4,4,4,4,4,4,1_152552235_153004859,0,0,0,0,0,0,0,0,0,0,0,chr11,152552235,153004859
12,51089126,2,2,2,2,2,2,2,2,2,2,2,10_11908428_12292344,2,2,2,2,2,2,2,2,2,2,2,chr12,11908428,12292344
2,217402178,2,2,2,2,2,2,2,2,2,2,2,6_72678690_84632220,3,3,3,3,3,3,3,3,3,3,3,chr2,72678690,84632220
21,23375131,2,0,2,2,0,0,2,2,2,2,2,20_34091675_34152684,2,4,2,2,4,4,2,2,2,2,2,chr21,34091675,34152684
11,64255181,4,4,4,4,4,4,4,4,4,4,4,2_101869588_107460371,2,2,2,2,2,2,2,2,2,2,2,chr11,101869588,107460371
11,123462485,2,2,2,2,2,2,2,2,2,2,2,16_20422851_21145865,2,2,2,2,2,2,2,2,2,2,2,chr11,20422851,21145865
15,48514629,2,2,2,2,2,2,2,2,2,2,2,10_23555958_27793788,2,2,2,2,2,2,2,2,2,2,2,chr15,23555958,27793788
10,87316132,3,3,3,3,3,3,3,3,3,3,3,19_3273789_4847922,2,2,2,2,2,2,2,2,2,2,2,chr10,3273789,4847922
19,55947098,2,2,2,2,2,2,2,2,4,4,4,7_132192295_133692409,2,2,2,2,2,2,2,2,0,0,0,chr19,132192295,133692409
13,10080556,2,2,2,2,2,2,2,2,2,2,0,17_47280203_48941292,2,2,2,2,2,2,2,2,2,2,4,chr13,47280203,48941292
6,56614055,2,2,2,2,2,2,2,2,2,2,2,2_215976277_218750359,2,2,2,2,2,2,2,2,2,2,2,chr6,215976277,218750359
3,86658570,4,2,2,2,2,2,2,2,2,2,2,11_68170889_71820962,0,2,2,2,2,2,2,2,2,2,2,chr3,68170889,71820962
18,45785015,3,3,3,3,3,3,3,3,3,3,3,8_182785_681275,3,3,3,3,3,3,3,3,3,3,3,chr18,182785,681275
8,104304389,2,2,2,2,2,2,2,2,2,2,2,8_46838888_48973113,2,2,2,2,2,2,2,2,2,2,2,chr8,46838888,48973113
3,157503252,2,2,2,2,2,2,2,2,2,2,2,13_21361526_22275630,1,1,2,1,1,1,1,1,2,2,2,chr3,21361526,22275630
3,139451857,2,2,2,2,2,2,2,2,2,2,2,4_91736880_98761908,2,2,2,2,2,2,2,2,2,2,2,chr3,91736880,98761908
1,223787571,2,2,2,2,2,2,2,2,2,2,2,17_74274998_74475975,2,2,2,2,2,2,2,2,2,2,2,chr1,74274998,74475975
7,90160432,2,2,2,2,2,0,2,2,2,2,2,17_21198972_22066816,2,2,2,2,2,4,2,2,2,2,2,chr7,21198972,22066816
21,16037244,2,2,2,2,2,2,2,2,2,2,4,15_40684154_41352074,2,2,2,2,2,2,2,2,2,2,0,chr21,40684154,41352074
10,84231840,2,2,2,2,2,2,2,2,2,4,2,6_160494803_163990464,2,2,2,2,2,2,2,2,2,0,2,chr10,160494803,163990464
8,27422734,3,3,3,3,3,3,3,3,3,3,3,2_11052639_11680863,2,2,2,2,2,2,2,2,2,2,2,chr8,11052639,11680863
16,32115239,3,3,3,3,3,3,3,3,3,3,3,10_3124413_3197972,2,2,2,2,2,2,2,2,2,2,2,chr16,3124413,3197972
4,36482050,3,3,3,3,3,3,3,3,3,3,3,18_29708981_30672771,2,2,2,2,2,2,2,2,2,2,2,chr4,29708981,30672771
14,37589293,2,2,2,2,2,2,2,2,2,2,2,17_66270153_70645103,2,2,2,2,2,2,2,2,2,2,2,chr14,66270153,70645103
16,64296735,2,2,2,2,2,2,2,2,2,2,2,18_18533532_27878981,2,2,2,2,2,2,2,2,2,2,2,chr16,18533532,27878981
11,114407186,2,2,2,2,2,2,2,2,2,2,2,14_69792144_79432767,3,3,3,3,3,3,3,3,3,3,3,chr11,69792144,79432767
13,64982165,2,2,2,2,2,2,2,2,2,2,2,1_152086296_152286487,3,3,3,3,3,3,3,3,3,3,3,chr13,152086296,152286487
7,58379939,2,2,2,2,2,2,2,2,2,2,2,13_20398669_21361123,2,2,2,2,2,2,2,2,2,2,2,chr7,20398669,21361123
4,46574689,2,2,2,2,2,2,2,2,1,1,1,6_118887139_127804191,2,2,2,2,2,2,2,2,2,2,2,chr4,118887139,127804191
3,108636849,2,2,2,2,2,2,2,2,2,2,2,9_139329284_140638634,4,4,4,4,4,4,4,4,4,4,4,chr3,139329284,140638634
7,154376853,3,3,2,3,3,3,3,3,2,2,2,3_169486163_197765456,2,2,2,2,2,2,2,2,2,2,2,chr7,169486163,197765456
2,37959863,2,2,2,2,2,2,2,2,2,2,2,1_119433518_121310061,3,3,3,3,3,3,3,3,3,3,3,chr2,119433518,121310061
15,93798450,3,3,3,3,3,3,3,3,3,3,3,8_142459814_142517227,3,3,3,3,3,3,3,3,3,3,3,chr15,142459814,142517227
6,59663237,2,2,2,2,2,2,2,2,2,2,2,11_93517655_94912035,2,2,2,2,2,2,2,2,2,2,2,chr6,93517655,94912035
6,51696004,4,4,4,4,4,4,4,4,4,4,4,19_45991685_46366389,0,0,0,0,0,0,0,0,0,0,0,chr6,45991685,46366389
3,187113279,2,2,2,2,2,2,2,2,2,2,2,6_164891870_167549868,2,2,2,2,2,2,2,2,2,2,2,chr3,164891870,167549868
11,43143834,2,2,2,2,2,2,2,2,2,2,2,19_33635991_40097959,2,2,2,2,2,2,2,2,2,2,2,chr11,33635991,40097959
10,24753110,2,2,2,2,2,2,2,2,2,2,2,22_43814024_46807729,2,2,2,2,2,2,2,2,2,2,2,chr10,43814024,46807729
